"","Fire_ID","defol","years_defol","tsd"
"1","PEM3_2001_11",0,2,0
"2","PEM2_2000_35",0,2,0
"3","KEM1_2000_36",0,2,0
"4","PET1_2001_50",0,2,0
"5","SAU8_2000_61",0,2,0
"6","KEM2_2000_62",0,2,0
"7","PEM9_2002_104",0,2,0
"8","BAN1_2002_105",1,5,13
"9","SAU4_1999_329",1,5,10
"10","SAU4_1998_335",1,2,15
"11","NOR3_1998_373",0,2,0
"12","PAR13_1999_571",0,2,0
"13","NOR17_1999_728",1,8,10
"14","PEM74_1990_765",1,3,15
"15","NOR70_1988_932",1,14,1
"16","PEM4_1999_1091",1,2,10
"17","PET5_1998_1317",0,2,0
"18","SAU7_2003_1436",0,2,0
"19","PEM8_1999_1450",1,2,10
"20","SUD1_2005_1524",0,2,0
"21","SUD1_2004_1532",0,2,0
"22","SAU78_2006_1560",0,2,0
"23","SUD8_2006_1561",1,14,1
"24","PEM2_2007_1588",0,2,0
"25","SUD1_2009_1728",0,2,0
"26","SAU20_2011_1837",0,2,0
"27","PEM25_2012_1933",0,2,0
"28","SUD35_2016_2006",1,10,7
"29","APK20_2016_2015",0,2,0
"30","PEM7_2018_2038",0,2,0
"31","PAR33_2018_2071",1,2,9
"32","PEM6_2018_2137",0,2,0
"33","FOR1_2001_9",1,9,7
"34","FOR1_2000_34",1,5,5
"35","FOR61_1995_328",1,12,1
"36","FOR38_1995_439",1,12,1
"37","FOR9_1996_467",1,13,2
"38","FOR141_1995_743",1,12,1
"39","ATI10_1987_819",1,6,1
"40","FOR140_1995_828",1,13,1
"41","THU130_1991_1263",1,2,1
"42","FOR9_1998_1300",1,6,2
"43","FOR137_1995_1337",1,13,1
"44","THU28_2003_1502",1,4,7
"45","FOR14_2005_1514",1,6,11
"46","FOR24_2005_1516",1,6,11
"47","FOR18_2005_1520",1,6,10
"48","FOR52_2006_1617",1,5,12
"49","FOR173_2006_1618",1,5,12
"50","FOR54_2006_1619",1,5,12
"51","FOR165_2006_1620",1,5,12
"52","FOR57_2006_1621",1,5,12
"53","FOR63_2006_1622",1,5,12
"54","FOR179_2006_1623",1,5,12
"55","FOR61_2006_1624",1,5,11
"56","FOR42_2011_1834",0,2,0
"57","FOR17_2011_1836",0,2,0
"58","FOR59_2012_1935",0,2,0
"59","FOR24_2018_2039",0,2,0
"60","NIP53_2001_1",0,2,0
"61","NIP39_2001_2",0,2,0
"62","NIP52_2001_3",0,2,0
"63","NIP40_2001_4",0,2,0
"64","NIP35_2001_5",0,2,0
"65","NIP24_2001_7",1,3,8
"66","SLK5_2002_12",0,2,0
"67","SLK6_2002_13",0,2,0
"68","SLK7_2002_14",0,2,0
"69","RED1_2002_15",0,2,0
"70","SLK1_2002_16",0,2,0
"71","SLK4_2002_17",0,2,0
"72","SLK8_2002_18",0,2,0
"73","SLK25_2002_19",0,2,0
"74","SLK13_2000_20",0,2,0
"75","NIP26_2000_21",0,2,0
"76","NIP19_2000_22",0,2,0
"77","NIP24_2000_23",0,2,0
"78","SLK18_2000_24",0,2,0
"79","NIP25_2000_26",0,2,0
"80","SLK6_2000_27",0,2,0
"81","SLK16_2000_28",0,2,0
"82","SLK6_2001_37",0,2,0
"83","SLK5_2001_38",0,2,0
"84","SLK3_2001_39",0,2,0
"85","NIP54_2001_40",0,2,0
"86","NIP73_2001_41",0,2,0
"87","RED60_2001_42",0,2,0
"88","SLK24_2001_43",0,2,0
"89","SLK45_2001_44",0,2,0
"90","NIP22_2001_46",0,2,0
"91","NIP26_2001_47",0,2,0
"92","SLK2_2002_51",0,2,0
"93","SLK3_2002_52",0,2,0
"94","COC12_2002_53",0,2,0
"95","SLK11_2002_54",0,2,0
"96","SLK12_2002_55",0,2,0
"97","SLK36_2002_56",0,2,0
"98","SLK1_2001_63",0,2,0
"99","SLK4_2001_64",0,2,0
"100","RED61_2001_65",0,2,0
"101","NIP55_2001_66",0,2,0
"102","SLK44_2001_67",0,2,0
"103","NIP72_2001_68",0,2,0
"104","SLK47_2001_69",0,2,0
"105","NIP74_2001_70",0,2,0
"106","SLK50_2001_71",0,2,0
"107","SIO178_1989_81",0,2,0
"108","NIP138_1998_82",0,2,0
"109","SLK140_1998_86",0,2,0
"110","NIP83_2002_88",0,2,0
"111","SLK31_2002_89",0,2,0
"112","RED39_2002_90",0,2,0
"113","RED40_2002_91",0,2,0
"114","NIP51_2002_94",0,2,0
"115","NIP81_2002_96",0,2,0
"116","NIP38_2002_97",0,2,0
"117","SIO179_1989_108",0,2,0
"118","GER93_1989_110",0,2,0
"119","SIO22_1989_111",0,2,0
"120","NIP81_1996_114",0,2,0
"121","SIO135_1989_115",0,2,0
"122","SIO196_1988_118",0,2,0
"123","GER31_1987_120",0,2,0
"124","SLK120_1994_122",0,2,0
"125","SLK75_1998_124",0,2,0
"126","NIP146_1998_126",0,2,0
"127","SIO100_1988_128",0,2,0
"128","SIO19_1989_130",0,2,0
"129","GER20_1987_131",0,2,0
"130","SLK58_1994_132",0,2,0
"131","GER85_1990_135",0,2,0
"132","GER27_1989_138",0,2,0
"133","NIP18_1995_145",0,2,0
"134","SIO49_1987_149",0,2,0
"135","GER39_1990_151",0,2,0
"136","SLK55_1996_156",0,2,0
"137","SLK18_1995_162",0,2,0
"138","RED57_2002_163",0,2,0
"139","NIP55_2002_164",0,2,0
"140","RED65_2002_165",0,2,0
"141","SLK70_2002_166",0,2,0
"142","RED56_2002_167",0,2,0
"143","RED23_2002_168",0,2,0
"144","RED41_2002_169",0,2,0
"145","RED21_2002_170",0,2,0
"146","NIP54_2002_173",0,2,0
"147","NIP56_2002_174",0,2,0
"148","NIP101_2002_176",0,2,0
"149","SLK21_2002_177",0,2,0
"150","SLK68_2002_178",0,2,0
"151","SLK54_2002_179",0,2,0
"152","NIP48_2002_180",0,2,0
"153","RED66_2002_181",0,2,0
"154","NIP47_2002_182",0,2,0
"155","SLK32_2002_183",0,2,0
"156","SLK30_2002_184",0,2,0
"157","RED5_2002_185",0,2,0
"158","RED38_2002_186",0,2,0
"159","RED37_2002_187",0,2,0
"160","NIP32_2002_188",0,2,0
"161","NIP79_2002_189",0,2,0
"162","RED34_2002_190",0,2,0
"163","RED27_2002_191",0,2,0
"164","GER14_1992_194",0,2,0
"165","SIO86_1989_197",0,2,0
"166","RED19_1996_198",0,2,0
"167","RED112_1989_201",0,2,0
"168","GER52_1989_202",0,2,0
"169","SIO71_1989_205",0,2,0
"170","SLK106_1998_207",0,2,0
"171","SIO16_1989_224",0,2,0
"172","NIP60_1996_227",1,3,3
"173","GER94_1989_228",0,2,0
"174","GER44_1990_229",0,2,0
"175","GER26_1991_240",0,2,0
"176","SIO28_1991_242",0,2,0
"177","RED75_1996_243",0,2,0
"178","SIO67_1989_244",0,2,0
"179","GER30_1990_245",0,2,0
"180","GER96_1989_253",0,2,0
"181","SIO49_1990_255",0,2,0
"182","NIP125_1998_256",0,2,0
"183","NIP64_1995_262",0,2,0
"184","RED22_1991_263",0,2,0
"185","SIO45_1993_265",0,2,0
"186","GER32_1989_272",0,2,0
"187","GER63_1989_273",0,2,0
"188","NIP165_1998_274",0,2,0
"189","SIO10_1989_285",0,2,0
"190","SLK127_1998_287",0,2,0
"191","GER98_1991_288",0,2,0
"192","GER136_1989_295",0,2,0
"193","SIO109_1988_304",0,2,0
"194","SLK61_1995_306",0,2,0
"195","GER50_1989_314",0,2,0
"196","RED117_1989_320",0,2,0
"197","GER37_1990_321",0,2,0
"198","SLK47_1995_323",0,2,0
"199","SLK124_1998_327",0,2,0
"200","SLK110_1998_331",0,2,0
"201","SLK108_1994_333",0,2,0
"202","SLK63_1998_337",0,2,0
"203","SLK85_1996_338",0,2,0
"204","SIO22_1990_339",0,2,0
"205","GER14_1986_340",0,2,0
"206","SLK90_1995_344",0,2,0
"207","NIP44_1994_346",0,2,0
"208","NIP30_1999_353",0,2,0
"209","SLK52_1995_354",0,2,0
"210","NIP50_1996_355",0,2,0
"211","RED72_1989_356",0,2,0
"212","NIP18_1999_357",0,2,0
"213","SLK47_1996_358",0,2,0
"214","NIP62_1999_361",0,2,0
"215","SLK122_1998_362",0,2,0
"216","RED5_1986_368",0,2,0
"217","SLK36_1999_369",0,2,0
"218","SIO139_1988_371",0,2,0
"219","SLK121_1998_375",0,2,0
"220","GER28_1990_376",0,2,0
"221","GER75_1990_379",0,2,0
"222","GER29_1986_385",0,2,0
"223","GER72_1989_386",0,2,0
"224","SLK39_1995_389",0,2,0
"225","SLK58_1995_394",0,2,0
"226","GER45_1991_396",0,2,0
"227","SIO23_1992_401",0,2,0
"228","SLK55_1995_404",0,2,0
"229","GER45_1990_410",0,2,0
"230","RED46_1987_416",0,2,0
"231","GER46_1989_417",0,2,0
"232","NIP43_1999_421",0,2,0
"233","SLK14_1995_425",0,2,0
"234","GER70_1991_449",0,2,0
"235","SLK128_1998_450",0,2,0
"236","GER80_1989_455",0,2,0
"237","NIP58_1996_457",0,2,0
"238","NIP19_1996_458",0,2,0
"239","NIP82_1995_463",0,2,0
"240","NIP22_1996_474",0,2,0
"241","SLK78_1998_477",0,2,0
"242","SIO120_1989_482",0,2,0
"243","GER129_1989_489",0,2,0
"244","SLK68_1994_490",0,2,0
"245","RED41_1989_491",0,2,0
"246","RED52_1989_499",0,2,0
"247","SIO44_1993_500",0,2,0
"248","SIO153_1989_503",0,2,0
"249","SLK62_1995_504",0,2,0
"250","SLK46_1996_506",0,2,0
"251","SIO106_1989_507",0,2,0
"252","NIP99_1999_508",0,2,0
"253","SIO39_1993_510",0,2,0
"254","GER30_1989_511",0,2,0
"255","GER46_1990_513",0,2,0
"256","SIO4_1989_515",0,2,0
"257","SIO8_1989_518",0,2,0
"258","RED129_1995_524",0,2,0
"259","NIP123_1998_528",0,2,0
"260","SIO24_1992_533",0,2,0
"261","SLK49_1994_538",0,2,0
"262","SLK70_1998_539",0,2,0
"263","NIP127_1998_540",0,2,0
"264","NIP22_1995_543",0,2,0
"265","RED38_1998_545",0,2,0
"266","SIO94_1991_551",0,2,0
"267","SLK73_1999_556",0,2,0
"268","RED18_1996_559",0,2,0
"269","SIO143_1989_564",0,2,0
"270","NIP37_1996_565",0,2,0
"271","SLK76_1995_567",0,2,0
"272","SIO64_1987_568",0,2,0
"273","GER19_1993_575",0,2,0
"274","GER13_1986_576",0,2,0
"275","RED68_1989_585",0,2,0
"276","GER25_1992_587",0,2,0
"277","SIO48_1993_588",0,2,0
"278","SIO80_1991_595",0,2,0
"279","SIO31_1993_596",0,2,0
"280","SLK73_1995_597",0,2,0
"281","SLK40_1999_601",0,2,0
"282","NIP121_1998_602",0,2,0
"283","SLK102_1998_603",0,2,0
"284","RED7_1994_604",0,2,0
"285","GER11_1991_607",0,2,0
"286","GER61_1989_608",0,2,0
"287","SIO54_1991_618",0,2,0
"288","SIO87_1989_619",0,2,0
"289","NIP51_1996_620",1,2,3
"290","NIP163_1998_625",0,2,0
"291","NIP62_1996_627",0,2,0
"292","GER57_1990_631",0,2,0
"293","SIO114_1989_636",0,2,0
"294","SLK51_1995_638",0,2,0
"295","RED352_1988_642",0,2,0
"296","GER19_1989_643",0,2,0
"297","NIP122_1998_654",0,2,0
"298","SLK88_1996_656",0,2,0
"299","SIO18_1993_657",0,2,0
"300","NIP52_1999_664",0,2,0
"301","NIP120_1998_665",0,2,0
"302","SLK129_1998_666",0,2,0
"303","SIO91_1989_668",0,2,0
"304","RED46_1989_672",0,2,0
"305","GER48_1990_680",0,2,0
"306","RED2_1989_681",0,2,0
"307","SLK74_1998_682",0,2,0
"308","GER76_1989_685",0,2,0
"309","SLK144_1998_687",0,2,0
"310","NIP61_1999_689",0,2,0
"311","SIO30_1991_693",0,2,0
"312","SLK52_1996_694",0,2,0
"313","NIP26_1994_695",0,2,0
"314","SIO72_1991_699",0,2,0
"315","SLK37_1995_702",0,2,0
"316","SLK27_1996_707",0,2,0
"317","GER65_1989_708",0,2,0
"318","RED69_1989_709",0,2,0
"319","SIO41_1993_717",0,2,0
"320","NIP144_1998_721",0,2,0
"321","SLK48_1995_723",0,2,0
"322","RED39_1998_730",0,2,0
"323","GER38_1989_732",0,2,0
"324","GER60_1989_734",0,2,0
"325","GER20_1990_740",0,2,0
"326","SLK16_1999_744",0,2,0
"327","SIO86_1990_750",0,2,0
"328","SIO119_1989_751",0,2,0
"329","RED309_1988_753",0,2,0
"330","NIP62_1994_758",0,2,0
"331","RED55_1989_759",0,2,0
"332","GER64_1989_767",0,2,0
"333","SIO103_1989_769",0,2,0
"334","SIO134_1989_770",0,2,0
"335","SLK51_1996_772",0,2,0
"336","NIP82_1996_776",0,2,0
"337","SLK56_1995_779",0,2,0
"338","SIO18_1988_780",0,2,0
"339","RED406_1988_785",0,2,0
"340","GER99_1989_786",0,2,0
"341","SLK130_1996_788",0,2,0
"342","GER25_1991_791",0,2,0
"343","GER60_1990_792",0,2,0
"344","RED26_1999_794",0,2,0
"345","RED16_1990_796",0,2,0
"346","GER83_1990_798",0,2,0
"347","SLK111_1998_800",0,2,0
"348","GER12_1986_801",0,2,0
"349","SIO123_1989_804",0,2,0
"350","NIP83_1996_805",0,2,0
"351","GER38_1990_810",0,2,0
"352","RED35_1989_820",0,2,0
"353","RED397_1988_825",0,2,0
"354","SLK53_1996_826",0,2,0
"355","GER21_1987_831",0,2,0
"356","NIP56_1998_832",1,2,6
"357","SLK105_1998_840",0,2,0
"358","SLK59_1995_841",0,2,0
"359","NIP126_1998_844",0,2,0
"360","RED28_1996_846",0,2,0
"361","RED355_1988_855",0,2,0
"362","SIO12_1989_858",0,2,0
"363","NIP40_1999_860",0,2,0
"364","SIO118_1989_864",0,2,0
"365","RED15_1990_867",0,2,0
"366","GER36_1992_868",0,2,0
"367","GER21_1988_873",0,2,0
"368","GER123_1989_875",0,2,0
"369","SIO20_1992_878",0,2,0
"370","RED56_1989_879",0,2,0
"371","SLK107_1994_882",0,2,0
"372","RED27_1996_889",0,2,0
"373","NIP201_1998_894",0,2,0
"374","GER63_1991_897",0,2,0
"375","RED22_1995_901",0,2,0
"376","NIP104_1999_908",0,2,0
"377","NIP43_1996_910",0,2,0
"378","NIP110_1998_914",0,2,0
"379","NIP54_1995_915",0,2,0
"380","NIP33_1995_917",0,2,0
"381","SLK104_1995_924",0,2,0
"382","RED42_1989_927",0,2,0
"383","RED40_1989_928",0,2,0
"384","SIO16_1989_930",0,2,0
"385","SLK60_1995_931",0,2,0
"386","SIO179_1988_934",0,2,0
"387","GER40_1990_938",0,2,0
"388","GER77_1989_945",0,2,0
"389","RED24_1986_950",0,2,0
"390","GER54_1989_953",0,2,0
"391","COC22_1999_954",0,2,0
"392","RED1_1989_955",0,2,0
"393","SIO106_1988_958",0,2,0
"394","SLK61_1998_960",0,2,0
"395","SLK15_1994_963",0,2,0
"396","RED14_1990_966",0,2,0
"397","GER55_1989_967",0,2,0
"398","GER51_1989_968",0,2,0
"399","NIP66_1996_970",0,2,0
"400","GER7_1989_978",0,2,0
"401","RED39_1989_986",0,2,0
"402","SLK76_1998_987",0,2,0
"403","SIO209_1988_988",0,2,0
"404","GER39_1992_989",0,2,0
"405","SIO37_1993_991",0,2,0
"406","SLK82_1999_992",0,2,0
"407","NIP124_1998_996",0,2,0
"408","SIO98_1988_998",0,2,0
"409","GER29_1990_999",0,2,0
"410","SLK68_1998_1001",0,2,0
"411","RED23_1996_1002",0,2,0
"412","GER35_1990_1004",0,2,0
"413","SLK109_1998_1005",0,2,0
"414","SIO171_1989_1011",0,2,0
"415","SIO80_1989_1014",0,2,0
"416","SLK104_1998_1016",0,2,0
"417","RED84_1995_1024",0,2,0
"418","RED15_1991_1027",0,2,0
"419","NIP13_1996_1030",0,2,0
"420","NIP14_1996_1032",0,2,0
"421","GER36_1989_1040",0,2,0
"422","SIO30_1992_1041",0,2,0
"423","SLK81_1995_1042",0,2,0
"424","SIO34_1991_1048",0,2,0
"425","GER25_1987_1050",0,2,0
"426","SIO162_1989_1054",0,2,0
"427","GER26_1988_1059",0,2,0
"428","SLK64_1998_1067",0,2,0
"429","SLK33_1996_1070",0,2,0
"430","SLK41_1999_1071",0,2,0
"431","GER28_1988_1072",0,2,0
"432","NIP32_1999_1075",0,2,0
"433","SLK72_1995_1077",0,2,0
"434","NIP48_1996_1078",0,2,0
"435","NIP164_1998_1080",0,2,0
"436","SLK81_1996_1087",0,2,0
"437","RED51_1989_1088",0,2,0
"438","GER34_1989_1089",0,2,0
"439","GER18_1992_1094",0,2,0
"440","GER71_1989_1096",0,2,0
"441","SIO22_1993_1099",0,2,0
"442","SIO150_1989_1106",0,2,0
"443","SLK34_1999_1109",0,2,0
"444","NIP59_1994_1114",0,2,0
"445","GER30_1987_1116",0,2,0
"446","RED20_1990_1117",0,2,0
"447","SIO64_1989_1120",0,2,0
"448","SIO7_1989_1125",0,2,0
"449","RED332_1988_1126",0,2,0
"450","SIO30_1989_1127",0,2,0
"451","SLK50_1995_1131",0,2,0
"452","SLK54_1995_1132",0,2,0
"453","GER50_1991_1134",0,2,0
"454","SLK82_1998_1135",0,2,0
"455","NIP50_1995_1136",0,2,0
"456","SLK31_1999_1137",0,2,0
"457","SLK120_1998_1148",0,2,0
"458","RED21_1987_1151",0,2,0
"459","SIO91_1986_1158",0,2,0
"460","SIO47_1990_1164",0,2,0
"461","SIO45_1986_1175",0,2,0
"462","SLK77_1995_1176",0,2,0
"463","NIP59_1996_1179",0,2,0
"464","SLK128_1995_1182",0,2,0
"465","SIO42_1986_1188",0,2,0
"466","SIO107_1989_1190",0,2,0
"467","GER120_1989_1192",0,2,0
"468","RED53_1989_1195",0,2,0
"469","SIO107_1991_1197",0,2,0
"470","SLK35_1999_1199",0,2,0
"471","GER92_1991_1201",1,3,5
"472","SLK37_1999_1203",0,2,0
"473","GER33_1990_1205",0,2,0
"474","GER85_1989_1209",0,2,0
"475","SLK121_1996_1212",0,2,0
"476","RED22_1998_1213",0,2,0
"477","NIP44_1995_1225",0,2,0
"478","NIP49_1994_1228",0,2,0
"479","SIO95_1989_1229",0,2,0
"480","RED29_1996_1235",0,2,0
"481","RED364_1988_1236",0,2,0
"482","GER84_1991_1249",0,2,0
"483","SLK54_1996_1251",0,2,0
"484","SIO104_1989_1252",0,2,0
"485","SLK99_1996_1253",0,2,0
"486","SLK36_1995_1256",0,2,0
"487","GER62_1989_1257",0,2,0
"488","RED34_1989_1259",0,2,0
"489","SIO68_1989_1262",0,2,0
"490","SIO139_1989_1267",0,2,0
"491","SLK39_1994_1269",0,2,0
"492","NIP156_1998_1276",0,2,0
"493","RED81_1989_1278",0,2,0
"494","NIP66_1995_1281",0,2,0
"495","GER15_1992_1284",0,2,0
"496","NIP43_1995_1286",0,2,0
"497","SIO208_1988_1287",0,2,0
"498","RED11_1986_1291",0,2,0
"499","GER13_1992_1293",0,2,0
"500","NIP79_1996_1296",1,3,3
"501","NIP136_1995_1299",1,2,2
"502","GER35_1989_1301",0,2,0
"503","SIO66_1988_1302",0,2,0
"504","SLK35_1994_1303",0,2,0
"505","SLK74_1995_1304",0,2,0
"506","NIP35_1995_1305",0,2,0
"507","GER96_1991_1309",0,2,0
"508","RED111_1989_1312",0,2,0
"509","GER128_1989_1320",0,2,0
"510","SLK34_1995_1322",0,2,0
"511","RED21_1995_1324",0,2,0
"512","GER59_1989_1325",0,2,0
"513","SIO101_1989_1327",0,2,0
"514","GER35_1991_1329",0,2,0
"515","GER51_1990_1331",0,2,0
"516","SIO133_1989_1335",0,2,0
"517","SLK35_1995_1341",0,2,0
"518","SIO82_1990_1343",0,2,0
"519","RED35_1995_1344",0,2,0
"520","SIO11_1989_1345",0,2,0
"521","RED22_1987_1346",0,2,0
"522","SIO110_1991_1347",0,2,0
"523","GER17_1992_1355",0,2,0
"524","SLK79_1998_1357",0,2,0
"525","NIP68_1996_1358",0,2,0
"526","SLK54_1999_1365",0,2,0
"527","SLK44_1995_1367",0,2,0
"528","SLK78_1995_1370",0,2,0
"529","NIP118_1998_1372",0,2,0
"530","NIP110_1996_1377",0,2,0
"531","GER27_1988_1382",0,2,0
"532","NIP76_1996_1383",0,2,0
"533","SIO159_1988_1389",0,2,0
"534","SIO9_1989_1392",0,2,0
"535","SIO127_1988_1397",0,2,0
"536","SIO119_1991_1398",0,2,0
"537","SLK4_2003_1401",0,2,0
"538","NIP92_2003_1402",0,2,0
"539","NIP68_2003_1407",0,2,0
"540","SLK55_2003_1417",0,2,0
"541","RED90_2003_1422",0,2,0
"542","NIP42_2003_1430",0,2,0
"543","SLK70_2003_1431",0,2,0
"544","SLK66_2003_1432",0,2,0
"545","NIP81_2003_1437",0,2,0
"546","RED91_2003_1438",0,2,0
"547","RED26_1998_1443",0,2,0
"548","GER18_1989_1445",0,2,0
"549","GER41_1988_1448",0,2,0
"550","SLK69_1995_1451",0,2,0
"551","SLK1_2003_1453",0,2,0
"552","RED21_1996_1454",0,2,0
"553","SLK32_1995_1462",0,2,0
"554","GER11_1986_1463",0,2,0
"555","NIP75_1994_1469",0,2,0
"556","SLK69_1998_1475",0,2,0
